Date,Takeaway Amount
22-04-17,160.00
22-04-17,3500.00
23-04-17,160.00
23-04-17,380.00
23-04-17,936.00
23-04-17,551.00
23-04-17,8800.00
25-04-17,2110.00
26-04-17,1055.00
27-04-17,211.00
28-04-17,500.00
29-04-17,1000.00
02-05-17,18199.00
03-05-17,106.00
06-05-17,185.00
07-05-17,34500.00
07-05-17,17500.00
07-05-17,622.00
07-05-17,206.00
07-05-17,565.00
10-05-17,9500.00
10-05-17,638.00
11-05-17,19050.00
12-05-17,140.00
13-05-17,10350.00
15-05-17,6300.00
15-05-17,25500.00
15-05-17,25500.00
17-05-17,119.00
17-05-17,739.00
19-05-17,140.00
20-05-17,135.00
20-05-17,57.00
20-05-17,185.00
22-05-17,309.00
22-05-17,16800.00
22-05-17,8404.00
23-05-17,27091.00
24-05-17,33550.00
29-05-17,739.00
02-06-17,1899.00
02-06-17,465.00
03-06-17,4486.00
04-06-17,24687.00
04-06-17,10800.00
05-06-17,633.00
06-06-17,3292.00
06-06-17,36000.00
06-06-17,11250.00
10-06-17,8000.00
10-06-17,6800.00
10-06-17,243.00
10-06-17,398.00
10-06-17,780.00
13-06-17,3600.00
17-06-17,200.00
17-06-17,200.00
17-06-17,158.00
18-06-17,6330.00
18-06-17,7000.00
18-06-17,5500.00
19-06-17,317.00
19-06-17,12660.00
19-06-17,9600.00
20-06-17,22501.00
21-06-17,20626.00
21-06-17,21600.00
22-06-17,8626.00
23-06-17,7500.00
24-06-17,158.00
24-06-17,2991.00
24-06-17,271.00
24-06-17,4800.00
25-06-17,11980.00
26-06-17,8800.00
29-06-17,6375.00
30-06-17,6000.00
01-07-17,248.00
04-07-17,5500.00
30-12-20,250.00
31-12-20,640.00
31-12-20,2180.00
31-12-20,500.00
02-01-21,320.00
02-01-21,800.00
04-01-21,800.00
04-01-21,480.00
05-01-21,320.00
05-01-21,160.00
05-01-21,160.00
05-01-21,480.00
06-01-21,480.00
06-01-21,160.00
06-01-21,1585.00
07-01-21,640.00
07-01-21,152.00
07-01-21,160.00
07-01-21,160.00
07-01-21,160.00
08-01-21,160.00
08-01-21,320.00
09-01-21,320.00
11-01-21,320.00
12-01-21,160.00
